KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,DATA_PROVIDER,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,EMBARGO_TIME,COMMENT_OBS,PRE_BREAK_VALUE,CONF_STATUS,OBS_STATUS,TRANSFORMATION,COMMENT_TS,TIME_PER_COLLECT,ADJU_DETAIL,UPDATE_STATUS,TIME_FORMAT,BREAKS,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,UNIT_INDEX_BASE,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,COMMENT_DSET
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-06,57.71,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-07,57.73,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-08,57.78,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-09,57.77,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-10,57.76,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-11,57.76,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1998-12,57.75,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1999-01,57.72,,Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1999-02,57.74,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
HICP.M.U2.Y.000000.4F0.INX,M,U2,Y,000000,4F0,INX,1999-03,57.82,,,,F,A,,,A,,,P1M,,4F0,,,,2025 = 100,,2,,HICP Inflation rate - Total - Index,"Euro area (Member States and Institutions of the Euro Area) changing composition - HICP - Total, Index, European Central Bank (ECB), Working day and seasonally adjusted",IX,0,
