DATAFLOW,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,SECTOR,EXPENDITURE,EDITION,CATEGORY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,PRICE_BASE,BASE_PER
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,40.41,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,16.81,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,15.56,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,40.62,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,14.72,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF10,2025,PF,2023,20.15,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,15.71,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,13.86,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,19.82,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,18.69,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF07,2025,PF,2019,24.88,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,DEU,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,16.3,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,13.74,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,18.16,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,18.98,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF07,2025,PF,2020,22.39,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,13.17,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,20.62,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,20.36,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,22.8,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,12.48,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,21.37,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,19.13,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF07,2025,PF,2022,26.5,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,ITA,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,12.08,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,JPN,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,20.12,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,GBR,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,18.63,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,USA,GE,PT_OTE_S13,S13,GF07,2025,PF,2023,25.85,A,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF10,2025,PF,2020,44.19,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF07,2025,PF,2021,15.74,P,0,_Z,
OECD.GOV.GIP:DSD_GOV_COFOG@DF_GOV_COFOG_2025(1.0),A,FRA,GE,PT_OTE_S13,S13,GF10,2025,PF,2021,41.78,P,0,_Z,
