scope_code,scope_name,year,series_id,series_name,value,status,source,source_url,source_note
MAE,G7 aggregate,1995,overall_balance,Overall balance,-5.7834,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1995,primary_balance,Primary balance,-2.9039,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1995,revenue,Revenue,37.2710,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1995,primary_expenditure,Primary expenditure,40.1748,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,1995,gross_debt,Gross debt,73.2304,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1995,net_debt,Net debt,45.9957,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1996,overall_balance,Overall balance,-4.4016,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1996,primary_balance,Primary balance,-1.3391,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1996,revenue,Revenue,37.7856,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1996,primary_expenditure,Primary expenditure,39.1247,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,1996,gross_debt,Gross debt,76.1136,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1996,net_debt,Net debt,50.5870,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1997,net_debt,Net debt,52.4840,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1998,net_debt,Net debt,55.8024,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,1999,net_debt,Net debt,58.6433,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2000,net_debt,Net debt,58.0848,actual,IMF Fiscal Monitor,https://www.imf.org/external/datamapper/datasets/FM,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2001,overall_balance,Overall balance,-1.9950,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2001,primary_balance,Primary balance,0.2920,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2001,revenue,Revenue,34.9440,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2001,primary_expenditure,Primary expenditure,34.6520,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2001,gross_debt,Gross debt,71.5870,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2001,net_debt,Net debt,47.8220,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2002,overall_balance,Overall balance,-4.1190,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2002,primary_balance,Primary balance,-1.9570,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2002,revenue,Revenue,33.6030,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2002,primary_expenditure,Primary expenditure,35.5600,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2002,gross_debt,Gross debt,73.3900,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2002,net_debt,Net debt,50.5110,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2003,overall_balance,Overall balance,-4.7020,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2003,primary_balance,Primary balance,-2.6440,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2003,revenue,Revenue,33.6990,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2003,primary_expenditure,Primary expenditure,36.3430,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2003,gross_debt,Gross debt,76.4710,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2003,net_debt,Net debt,53.7480,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2004,overall_balance,Overall balance,-3.9510,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2004,primary_balance,Primary balance,-1.9770,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2004,revenue,Revenue,34.0690,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2004,primary_expenditure,Primary expenditure,36.0460,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2004,gross_debt,Gross debt,81.5480,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2004,net_debt,Net debt,59.0720,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2005,overall_balance,Overall balance,-3.2440,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2005,primary_balance,Primary balance,-1.3000,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2005,revenue,Revenue,34.8630,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2005,primary_expenditure,Primary expenditure,36.1630,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2005,gross_debt,Gross debt,81.6540,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2005,net_debt,Net debt,58.1450,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2006,overall_balance,Overall balance,-2.2010,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2006,primary_balance,Primary balance,-0.3190,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2006,revenue,Revenue,35.6260,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2006,primary_expenditure,Primary expenditure,35.9450,actual,IMF WEO / derived,https://data.imf.org/Datasets/WEO,Primary expenditure = revenue - primary balance.
MAE,G7 aggregate,2006,gross_debt,Gross debt,79.3450,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
MAE,G7 aggregate,2006,net_debt,Net debt,56.2200,actual,IMF WEO,https://data.imf.org/Datasets/WEO,April 2026 vintage; general government; percent of GDP; Fiscal Monitor used only where WEO is unavailable.
